actor,number_of_appearences
"Terry Jones",4
"Eric Idle",3
"Graham Chapman",3
"Terry Gilliam",3
"Michael Palin",3
"Carol Cleveland",2
"John Cleese",2
"Neil Innes",2
"John Young",2
"Jodie Foster",1
"Albert Brooks",1
"Harvey Keitel",1
"Cybill Shepherd",1
"Peter Boyle",1
"Leonard Harris",1
"Diahnne Abbott",1
"Gino Ardito",1
"Martin Scorsese",1
"Murray Moston",1
"Richard Higgs",1
