title,type,imdb_score
GoodFellas,MOVIE,8.7
"Full Metal Jacket",MOVIE,8.3
"Once Upon a Time in America",MOVIE,8.3
"Taxi Driver",MOVIE,8.2
"Monty Python and the Holy Grail",MOVIE,8.2
"The Land",MOVIE,8.1
"Richard Pryor: Live in Concert",MOVIE,8.1
"Parrot Sketch Not Included: Twenty Years of Monty Python",MOVIE,8.1
"Life of Brian",MOVIE,8.0
"Waiting for the Hearse",MOVIE,8.0
