title,type,imdb_score
"Bill Hicks: Sane Man",MOVIE,
Dostana,MOVIE,2.1
Bandie,MOVIE,4.4
"Chadi Jawani Budhe Nu",MOVIE,4.6
"Endless Love",MOVIE,4.9
"Khoon Khoon",MOVIE,5.1
"Aakhri Adaalat",MOVIE,5.1
Mujrim,MOVIE,5.4
"In Defense of a Married Man",MOVIE,5.6
"The Blue Lagoon",MOVIE,5.8
